stakeholders,position ,Gender,official_role,decision_role,Expertise,Experience,Availability,Interest_2019,Interest_2020,Relevance_2019,Relevance_2020,Influence_2019,Influence_2020,Attitude_2019,Attitude_2020
Provincial PC,NA,Not identified,Govement management,"Decide, manage the operation",budget,4,1,1,2,5,5,4.5,4.5,Positive,Positive
Vice Chairman PC,Vice Chairman PC,Male,Construction and Foreign Affairs,Influence,budget,4,1.5,3,3,2,4.5,2,4.5,Positive,Positive
Provinvial DARD,NA,Not identified,Provide advisory support to PC for the government management in agriculture,"Consolidate district reports, proposed proposal, plan. Request to PC to get support for scaling (and then PC will assign DARD to take charge in this)",policy,4,3.5,3,3.5,5,5,4,4,Positive,Positive
Vice-Director DARD, Vice-Director/ Steering Committee ,Male,Responsible for Water Resource Management!!!,Steer,policy,4,1.5,2,3.5,5,5,4,4,Positive,Positive
Director DARD,Director DARD/ cum Agriculture vice Director,Male,Management ,Steer,policy,NA,NA,,1,,5,,4,No information,Positive
Women Union,NA,Not identified,"For gender equality, protect women right, focus on poor wome, propaganda",Capacity training on SAA,gender,4,5,3,3.5,3,3,3.5,3.5,Positive,Positive
Chairwoman,Chairwoman,Female,Management,Gender component,gender,3.5,5,3,3.75,3,3,3.5,3.5,Positive,Positive
Vice-Director-Hydromet,Vice-Director,Female,Management,Weather forecast,weather forecast,5,5,2.5,5,5,5,2,3,Positive,Positive
Director-Hydromet,Director,Male,Management,Weather forecast,weather forecast,4,2.5,4,0,5,0,2,0,Positive,Positive
Department of planning and investment,,Not identified,"Receive, compile, plans",Verify plan,planning,4,1,0,2,5,5,4,4,No information,Neutral
Department of finance,,Not identified,"Receive, compile, budget",Verify budget,budget,4,1,0,2,5,5,4,4,No information,Neutral
Dien BienDistrict PC,,Not identified,Government management,"Report, Propose, Implement",overall implementation,3,2,0,0,5,5,3.5,3.5,Positive,Positive
Muong Ang District PC,,Not identified,Government management,"Report, Propose, Implement",overall implementation,3,2,2,3,5,5,3.5,3.5,Positive,Positive
Vice Chairman PC District,Vice Chairman PC,Male,Responsible for Agriculture,"Report, Propose, Implement",overall implementation,3,2,3,3,5,5,3,4.5,Positive,Positive
Dien Bien District DARD ,,Not identified,Provide advisory support to PC for the government management in agriculture,,overall implementation,3,2,3,3,5,5,3,3,Positive,Positive
Muong Ang District DARD ,,Not identified,Provide advisory support to PC for the government management in agriculture,,overall implementation,3,2,3,3,5,5,3,3,Positive,Positive
Other communes,,Not identified,x,Implement,overall implementation,0,2,0,0,5,5,3,3,No information,No information
Dien Bien EC,,Not identified,Implement,Implement,overall implementation,4,5,5,5,4,4,3.5,3.5,Positive,Positive
Muong Ang EC,,Not identified,Implement,Implement,overall implementation,4,5,5,5,4,4,3.5,3.5,Positive,Positive
City Agri. Department,,Not identified,Provide advisory support to PC for the government management in agriculture,,overall implementation,4,2,,1,,1,,1,No information,Neutral
Technical working group,,Not identified,"Government: Technical staff (agri-extension, plant protection, agri)
Project: Project Officers",direct implementation,forecast and advice,5,5,3.5,4.5,4,4,3,3,Positive,Positive
CCD,,Not identified,Implement development project,"Technical support in coordination, training on gender",overall implementation,4,4,3,4.5,3,3,2,2,Positive,Positive
Director-LNGO,Director,Male,Management,Overall management from CCD,overall implementation,3,1.5,3,3,3,3,2,2,Positive,Positive
Vice-Director-LNGO,Vice-Director,Female,Lead technical activities,"Technical support in coordination, training on gender",overall implementation,5,5,4,4,3,3,2,2,Positive,Positive
VSLA,,Not identified,Involve in the pilot ACIS project ,"Voice out the importance of ACIS and need to upscale, sharing information to peers and authority","communication, usage",5,5,2,3,5,4,2,2,Positive,Positive
non_VSLA,farmers,Not identified,farmers,beneficiaries,use advice,1,3,3,3,4,4,0,0,Positive,Positive
CARE,NGO,Not identified,NGO,advocate for the decision,"gender, management",5,5,5,5,5,5,3.5,3.75,Positive,Positive
Head Department HMA,Head of Department at Hydrological and Meteorological Administration,Male,,Legal issues related to hydromet law,policy,5,2,4,4,3,3,4,4,Positive,Positive
Agricultural imput suppliers,,Not identified,,,"fertilizer, pesticide",5,0,0,0,5,5,0,0,Negative,Negative
SMS company,,Not identified,,,communication,NA,NA,,5,,5,,0,No information,Positive
